episode,env_steps,dt_sec,loss,ep_return,ep_length,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
0,17,0.05605292320251465,-0.1248403787612915,17.0,17,93.1,25.14338879308038,25.95,10.772534520715169,93.1
1,30,0.015426397323608398,-0.3946511149406433,13.0,13,nan,nan,nan,nan,93.1
2,49,0.02069997787475586,0.43801629543304443,19.0,19,nan,nan,nan,nan,93.1
3,64,0.017008304595947266,0.32378020882606506,15.0,15,nan,nan,nan,nan,93.1
4,88,0.028076648712158203,0.28343427181243896,24.0,24,nan,nan,nan,nan,93.1
5,106,0.018157005310058594,-0.023612380027770996,18.0,18,nan,nan,nan,nan,93.1
6,116,0.011114358901977539,0.5905896425247192,10.0,10,nan,nan,nan,nan,93.1
7,173,0.050611257553100586,0.1306147575378418,57.0,57,nan,nan,nan,nan,93.1
8,219,0.05019545555114746,0.16404742002487183,46.0,46,nan,nan,nan,nan,93.1
9,233,0.01830768585205078,-0.05675150081515312,14.0,14,nan,nan,nan,nan,93.1
10,243,0.01020503044128418,0.027735471725463867,10.0,10,nan,nan,nan,nan,93.1
11,255,0.014516830444335938,-0.004413127899169922,12.0,12,nan,nan,nan,nan,93.1
12,270,0.017862558364868164,-1.0424033403396606,15.0,15,nan,nan,nan,nan,93.1
13,285,0.01747584342956543,-0.19985660910606384,15.0,15,nan,nan,nan,nan,93.1
14,349,0.05841231346130371,-0.6854614019393921,64.0,64,nan,nan,nan,nan,93.1
15,366,0.01626729965209961,-0.1978543996810913,17.0,17,nan,nan,nan,nan,93.1
16,381,0.017363786697387695,0.9640629291534424,15.0,15,nan,nan,nan,nan,93.1
17,434,0.055841922760009766,-1.5792162418365479,53.0,53,nan,nan,nan,nan,93.1
18,445,0.014402627944946289,0.25254327058792114,11.0,11,nan,nan,nan,nan,93.1
19,471,0.02244424819946289,-0.8687884211540222,26.0,26,nan,nan,nan,nan,93.1
20,485,0.012737512588500977,1.008286476135254,14.0,14,nan,nan,nan,nan,93.1
