episode,env_steps,dt_sec,loss,ep_return,ep_length,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
0,34,0.07236456871032715,-0.3443154990673065,34.0,34,9.35,0.6538348415311012,20.95,9.937177667728397,9.35
1,47,0.014722824096679688,-0.8225417137145996,13.0,13,nan,nan,nan,nan,9.35
2,58,0.012203693389892578,0.6844758987426758,11.0,11,nan,nan,nan,nan,9.35
3,73,0.01741933822631836,-0.01750064268708229,15.0,15,nan,nan,nan,nan,9.35
4,84,0.013741493225097656,0.8972725868225098,11.0,11,nan,nan,nan,nan,9.35
5,97,0.013916730880737305,0.28944385051727295,13.0,13,nan,nan,nan,nan,9.35
6,124,0.028383970260620117,1.2064383029937744,27.0,27,nan,nan,nan,nan,9.35
7,135,0.0184173583984375,-0.48545706272125244,11.0,11,nan,nan,nan,nan,9.35
8,181,0.06699705123901367,-0.171539306640625,46.0,46,nan,nan,nan,nan,9.35
9,195,0.023495197296142578,-1.104062557220459,14.0,14,nan,nan,nan,nan,9.35
10,225,0.0447847843170166,1.5533101558685303,30.0,30,nan,nan,nan,nan,9.35
11,268,0.062164306640625,-0.7234633564949036,43.0,43,nan,nan,nan,nan,9.35
12,282,0.02122664451599121,-0.08474387228488922,14.0,14,nan,nan,nan,nan,9.35
13,295,0.02179408073425293,0.19854207336902618,13.0,13,nan,nan,nan,nan,9.35
14,312,0.024191856384277344,1.7084095478057861,17.0,17,nan,nan,nan,nan,9.35
15,352,0.05624961853027344,0.12997865676879883,40.0,40,nan,nan,nan,nan,9.35
16,429,0.10680508613586426,9.218542098999023,77.0,77,nan,nan,nan,nan,9.35
17,441,0.020660877227783203,1.5327224731445312,12.0,12,nan,nan,nan,nan,9.35
18,454,0.019482851028442383,0.41106730699539185,13.0,13,nan,nan,nan,nan,9.35
19,467,0.019459962844848633,2.0379788875579834,13.0,13,nan,nan,nan,nan,9.35
20,477,0.017680883407592773,1.2174838781356812,10.0,10,nan,nan,nan,nan,9.35
21,487,0.01680469512939453,1.3200889825820923,10.0,10,nan,nan,nan,nan,9.35
22,521,0.04645204544067383,0.39205464720726013,34.0,34,nan,nan,nan,nan,9.35
23,539,0.026314973831176758,-0.0174868106842041,18.0,18,nan,nan,nan,nan,9.35
24,559,0.029830217361450195,-0.13211092352867126,20.0,20,nan,nan,nan,nan,9.35
25,570,0.0166170597076416,0.2704971432685852,11.0,11,9.35,0.6538348415311012,23.4,12.567418191498204,9.35
26,589,0.01830124855041504,-0.5551717281341553,19.0,19,nan,nan,nan,nan,9.35
27,598,0.010085582733154297,0.9683967232704163,9.0,9,nan,nan,nan,nan,9.35
28,626,0.02571702003479004,0.3951150178909302,28.0,28,nan,nan,nan,nan,9.35
29,648,0.019381046295166016,-0.17964139580726624,22.0,22,nan,nan,nan,nan,9.35
30,667,0.01874399185180664,0.3326685428619385,19.0,19,nan,nan,nan,nan,9.35
31,704,0.03329658508300781,0.030497252941131592,37.0,37,nan,nan,nan,nan,9.35
32,716,0.01524972915649414,0.02307802438735962,12.0,12,nan,nan,nan,nan,9.35
33,726,0.013016462326049805,0.8447566032409668,10.0,10,nan,nan,nan,nan,9.35
34,788,0.0687713623046875,0.2350904941558838,62.0,62,nan,nan,nan,nan,9.35
35,802,0.016220808029174805,-0.02722150832414627,14.0,14,nan,nan,nan,nan,9.35
36,817,0.015707731246948242,0.02572241984307766,15.0,15,nan,nan,nan,nan,9.35
37,840,0.022867918014526367,-0.13513720035552979,23.0,23,nan,nan,nan,nan,9.35
38,861,0.025462865829467773,-0.20149683952331543,21.0,21,nan,nan,nan,nan,9.35
39,876,0.01746988296508789,0.17729344964027405,15.0,15,nan,nan,nan,nan,9.35
40,892,0.0197756290435791,0.04010748863220215,16.0,16,nan,nan,nan,nan,9.35
41,907,0.015047788619995117,-0.06662245839834213,15.0,15,nan,nan,nan,nan,9.35
42,925,0.02071237564086914,-0.09690117835998535,18.0,18,nan,nan,nan,nan,9.35
43,958,0.028913259506225586,-0.20963478088378906,33.0,33,nan,nan,nan,nan,9.35
44,980,0.02210521697998047,-0.10674786567687988,22.0,22,nan,nan,nan,nan,9.35
