episode,env_steps,dt_sec,loss,ep_return,ep_length,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
28,667,0.0329592227935791,-0.5588884949684143,34.0,34,nan,nan,nan,nan,64.2
29,690,0.023238182067871094,-0.7833589315414429,23.0,23,nan,nan,nan,nan,64.2
30,706,0.016875028610229492,0.13107478618621826,16.0,16,nan,nan,nan,nan,64.2
31,739,0.04309439659118652,-0.36696547269821167,33.0,33,nan,nan,nan,nan,64.2
32,758,0.024175405502319336,-1.534970998764038,19.0,19,nan,nan,nan,nan,64.2
33,786,0.025011539459228516,0.07745873928070068,28.0,28,nan,nan,nan,nan,64.2
34,805,0.019431352615356445,-0.5257036089897156,19.0,19,nan,nan,nan,nan,64.2
35,815,0.01111745834350586,-0.2868608832359314,10.0,10,nan,nan,nan,nan,64.2
36,829,0.014347076416015625,0.31651896238327026,14.0,14,nan,nan,nan,nan,64.2
37,851,0.0225067138671875,0.2331238090991974,22.0,22,nan,nan,nan,nan,64.2
38,878,0.027907609939575195,-0.7422791123390198,27.0,27,nan,nan,nan,nan,64.2
39,895,0.017815113067626953,-0.9107764363288879,17.0,17,nan,nan,nan,nan,64.2
40,927,0.03222489356994629,-0.2351551651954651,32.0,32,nan,nan,nan,nan,64.2
41,942,0.01575636863708496,-0.18789897859096527,15.0,15,nan,nan,nan,nan,64.2
42,960,0.018423080444335938,-0.6840185523033142,18.0,18,nan,nan,nan,nan,64.2
43,1012,0.050731658935546875,-0.8836618065834045,52.0,52,nan,nan,nan,nan,64.2
44,1029,0.019763708114624023,-0.640820324420929,17.0,17,nan,nan,nan,nan,64.2
45,1045,0.02354598045349121,0.1687324047088623,16.0,16,nan,nan,nan,nan,64.2
46,1085,0.12090301513671875,-1.039513111114502,40.0,40,nan,nan,nan,nan,64.2
47,1101,0.02724909782409668,-0.20257443189620972,16.0,16,nan,nan,nan,nan,64.2
48,1120,0.0251009464263916,-0.733610987663269,19.0,19,nan,nan,nan,nan,64.2
49,1146,0.05596756935119629,0.10488218069076538,26.0,26,nan,nan,nan,nan,64.2
50,1185,0.05843806266784668,0.48172807693481445,39.0,39,66.6,70.77457170481499,34.15,11.722947581559852,66.6
51,1199,0.017046451568603516,0.16236642003059387,14.0,14,nan,nan,nan,nan,66.6
52,1228,0.02965855598449707,1.0041613578796387,29.0,29,nan,nan,nan,nan,66.6
53,1246,0.018558740615844727,0.4117545187473297,18.0,18,nan,nan,nan,nan,66.6
54,1267,0.02359795570373535,-1.8138691186904907,21.0,21,nan,nan,nan,nan,66.6
55,1285,0.021945714950561523,-0.06756159663200378,18.0,18,nan,nan,nan,nan,66.6
56,1300,0.01842188835144043,0.4316435158252716,15.0,15,nan,nan,nan,nan,66.6
57,1316,0.01709890365600586,-0.8972355127334595,16.0,16,nan,nan,nan,nan,66.6
58,1347,0.03374218940734863,-0.1854093074798584,31.0,31,nan,nan,nan,nan,66.6
59,1364,0.020100116729736328,0.31948423385620117,17.0,17,nan,nan,nan,nan,66.6
60,1394,0.02881336212158203,-1.7216441631317139,30.0,30,nan,nan,nan,nan,66.6
61,1422,0.030780792236328125,1.7180436849594116,28.0,28,nan,nan,nan,nan,66.6
62,1464,0.04263615608215332,0.36886757612228394,42.0,42,nan,nan,nan,nan,66.6
63,1507,0.05181741714477539,0.34363433718681335,43.0,43,nan,nan,nan,nan,66.6
64,1607,0.10530924797058105,-0.4705049991607666,100.0,100,nan,nan,nan,nan,66.6
65,1671,0.07505679130554199,0.1387782096862793,64.0,64,nan,nan,nan,nan,66.6
66,1694,0.025743722915649414,-0.302141010761261,23.0,23,nan,nan,nan,nan,66.6
67,1718,0.026914119720458984,-0.17397251725196838,24.0,24,nan,nan,nan,nan,66.6
68,1754,0.0381929874420166,-1.4487075805664062,36.0,36,nan,nan,nan,nan,66.6
69,1777,0.024906158447265625,-0.6447151899337769,23.0,23,nan,nan,nan,nan,66.6
70,1822,0.040693044662475586,-1.2242134809494019,45.0,45,nan,nan,nan,nan,66.6
71,1899,0.07623553276062012,-4.591317653656006,77.0,77,nan,nan,nan,nan,66.6
72,1926,0.027964115142822266,-0.5282602310180664,27.0,27,nan,nan,nan,nan,66.6
73,1949,0.023629188537597656,-0.8239880204200745,23.0,23,nan,nan,nan,nan,66.6
74,2000,0.050188541412353516,-3.717383861541748,51.0,51,nan,nan,nan,nan,66.6
75,2088,0.10625576972961426,0.08890271186828613,88.0,88,113.0,118.17106244762293,43.5,21.592822881689184,113.0
76,2134,0.07836270332336426,1.7405411005020142,46.0,46,nan,nan,nan,nan,113.0
77,2191,0.10611152648925781,-1.3280019760131836,57.0,57,nan,nan,nan,nan,113.0
78,2256,0.07826781272888184,-1.4158023595809937,65.0,65,nan,nan,nan,nan,113.0
79,2287,0.03279256820678711,0.3092186748981476,31.0,31,nan,nan,nan,nan,113.0
80,2404,0.10521531105041504,-0.19023728370666504,117.0,117,nan,nan,nan,nan,113.0
81,2439,0.03624248504638672,0.23839908838272095,35.0,35,nan,nan,nan,nan,113.0
82,2461,0.023029565811157227,0.9920669794082642,22.0,22,nan,nan,nan,nan,113.0
83,2500,0.03924107551574707,-0.4067276418209076,39.0,39,nan,nan,nan,nan,113.0
84,2527,0.026845216751098633,-1.0034661293029785,27.0,27,nan,nan,nan,nan,113.0
85,2585,0.05388164520263672,-1.151545524597168,58.0,58,nan,nan,nan,nan,113.0
86,2621,0.03479409217834473,-0.20897579193115234,36.0,36,nan,nan,nan,nan,113.0
87,2687,0.060404062271118164,0.8996191620826721,66.0,66,nan,nan,nan,nan,113.0
88,2747,0.05948805809020996,-0.09478527307510376,60.0,60,nan,nan,nan,nan,113.0
89,2764,0.017597436904907227,-2.4296460151672363,17.0,17,nan,nan,nan,nan,113.0
90,2848,0.0751645565032959,3.1210720539093018,84.0,84,nan,nan,nan,nan,113.0
91,2870,0.02284097671508789,-1.5063436031341553,22.0,22,nan,nan,nan,nan,113.0
92,2977,0.09337234497070312,-3.0117132663726807,107.0,107,nan,nan,nan,nan,113.0
