iteration,env_steps,dt_sec,lr,ent_coef,approx_kl,updates,rollout_ep_ret_mean,rollout_ep_ret_n,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
0,2048,1.858247995376587,0.0003,0.01,0.004150671658862848,64,-165.83596801757812,18,-92.31621118289493,78.91655283382502,-150.19531574951552,86.10556389739497,-92.31621118289493
1,4096,3.070051670074463,0.00029969999999999997,0.00999,0.0015177033237705473,64,-131.70469665527344,22,nan,nan,nan,nan,-92.31621118289493
2,6144,3.1341805458068848,0.00029939999999999996,0.009980000000000001,0.0014213516733434517,64,-111.94267272949219,26,nan,nan,nan,nan,-92.31621118289493
3,8192,2.9964542388916016,0.00029909999999999995,0.00997,0.0007438665088557173,64,-113.77045440673828,22,nan,nan,nan,nan,-92.31621118289493
4,10240,2.6004786491394043,0.0002988,0.00996,0.0009250207040167879,64,-112.61719512939453,22,nan,nan,nan,nan,-92.31621118289493
5,12288,2.529613733291626,0.0002985,0.00995,0.0016485763117088936,64,-99.94668579101562,21,nan,nan,nan,nan,-92.31621118289493
6,14336,2.5582497119903564,0.0002982,0.009940000000000001,0.0024248879562946968,64,-97.57167053222656,18,nan,nan,nan,nan,-92.31621118289493
7,16384,2.70719051361084,0.0002979,0.00993,0.002036601614236133,64,-105.94189453125,18,nan,nan,nan,nan,-92.31621118289493
8,18432,2.7221076488494873,0.00029759999999999997,0.00992,0.0013307809495017864,64,-93.5381088256836,17,nan,nan,nan,nan,-92.31621118289493
9,20480,2.6690125465393066,0.00029729999999999996,0.00991,0.0011892314651049674,64,-59.29409408569336,16,nan,nan,nan,nan,-92.31621118289493
10,22528,2.4758853912353516,0.00029699999999999996,0.0099,0.001538328237074893,64,-64.76365661621094,14,-260.16168225165,55.34536648487073,-63.416036397543486,79.9436300312393,-92.31621118289493
11,24576,3.871803045272827,0.00029669999999999995,0.00989,0.0021077406527183484,64,-67.07901763916016,16,nan,nan,nan,nan,-92.31621118289493
12,26624,3.6856226921081543,0.0002964,0.00988,0.0011449169578554574,64,-46.64541244506836,11,nan,nan,nan,nan,-92.31621118289493
13,28672,2.6223645210266113,0.0002961,0.00987,0.002087997414491838,64,-98.45469665527344,7,nan,nan,nan,nan,-92.31621118289493
