iteration,env_steps,dt_sec,lr,ent_coef,approx_kl,updates,rollout_ep_ret_mean,rollout_ep_ret_n,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
17,36864,2.172128438949585,0.00029489999999999996,0.00983,0.003292757217423059,64,-49.68046569824219,11,nan,nan,nan,nan,-237.07789017319192
18,38912,2.2317123413085938,0.00029459999999999995,0.00982,0.0016244354919763282,64,-72.97908782958984,10,nan,nan,nan,nan,-237.07789017319192
19,40960,2.4619760513305664,0.00029429999999999994,0.00981,0.003121879450191045,64,-30.872909545898438,6,nan,nan,nan,nan,-237.07789017319192
20,43008,2.4179837703704834,0.000294,0.0098,0.005229460868577007,64,-68.09918975830078,3,-190.95008518618425,71.13246877974302,-32.90446576627373,112.60477542057365,-190.95008518618425
21,45056,2.723864793777466,0.0002937,0.00979,0.00433230345879565,64,-3.6333606243133545,3,nan,nan,nan,nan,-190.95008518618425
22,47104,2.910245895385742,0.0002934,0.00978,0.0023693486109550577,64,-73.50792694091797,7,nan,nan,nan,nan,-190.95008518618425
23,49152,2.575782537460327,0.00029309999999999997,0.00977,0.003133425740088569,64,-55.48958969116211,8,nan,nan,nan,nan,-190.95008518618425
24,51200,2.368624687194824,0.00029279999999999996,0.00976,0.0043749355791078415,64,-76.25703430175781,9,nan,nan,nan,nan,-190.95008518618425
25,53248,2.5456130504608154,0.00029249999999999995,0.00975,0.001954055202077143,64,-102.99919891357422,4,nan,nan,nan,nan,-190.95008518618425
26,55296,2.565530776977539,0.00029219999999999995,0.00974,0.004342773368989583,64,8.007835388183594,3,nan,nan,nan,nan,-190.95008518618425
27,57344,2.6582202911376953,0.0002919,0.00973,0.00606994800909888,64,-85.0985336303711,1,nan,nan,nan,nan,-190.95008518618425
28,59392,2.2490181922912598,0.0002916,0.00972,0.001507348300947342,64,-24.70615005493164,9,nan,nan,nan,nan,-190.95008518618425
29,61440,1.9458556175231934,0.0002913,0.00971,0.0006774867433705367,64,-132.683837890625,4,nan,nan,nan,nan,-190.95008518618425
30,63488,2.2015433311462402,0.00029099999999999997,0.0097,0.0020273028276278637,64,-48.40463638305664,7,24.90271523593951,154.3947656895717,59.31085677329787,101.40005771894218,24.90271523593951
31,65536,2.524568796157837,0.00029069999999999996,0.00969,0.0016543354831810575,64,-3.44061279296875,4,nan,nan,nan,nan,24.90271523593951
32,67584,2.4647109508514404,0.00029039999999999996,0.00968,0.002526824908272829,64,-34.247230529785156,2,nan,nan,nan,nan,24.90271523593951
33,69632,2.5469014644622803,0.00029009999999999995,0.00967,0.0016699493608030025,64,-41.245479583740234,3,nan,nan,nan,nan,24.90271523593951
34,71680,2.4786839485168457,0.00028979999999999994,0.00966,0.0025744854610820767,64,-10.637602806091309,6,nan,nan,nan,nan,24.90271523593951
35,73728,2.4391279220581055,0.0002895,0.00965,0.003523856827087002,64,-54.4790153503418,5,nan,nan,nan,nan,24.90271523593951
36,75776,2.4001426696777344,0.0002892,0.00964,0.0017666341409494635,64,-93.47276306152344,5,nan,nan,nan,nan,24.90271523593951
37,77824,2.4034552574157715,0.0002889,0.00963,0.0024989362682390492,64,-65.45993041992188,2,nan,nan,nan,nan,24.90271523593951
38,79872,2.6332342624664307,0.00028859999999999997,0.00962,0.004257799442711985,64,11.41039752960205,3,nan,nan,nan,nan,24.90271523593951
39,81920,2.5114383697509766,0.00028829999999999996,0.00961,0.00247186377964681,64,-6.912990570068359,1,nan,nan,nan,nan,24.90271523593951
40,83968,2.2484774589538574,0.00028799999999999995,0.0096,0.0012131062212574761,64,-34.20477294921875,3,51.91346649338012,115.71719830979417,55.225157558856836,76.28190183083863,51.91346649338012
41,86016,2.6476662158966064,0.00028769999999999995,0.00959,0.001339568043476902,64,-50.96632385253906,4,nan,nan,nan,nan,51.91346649338012
42,88064,2.511812448501587,0.00028739999999999994,0.00958,0.003420229295443278,64,-30.58194351196289,5,nan,nan,nan,nan,51.91346649338012
43,90112,2.078540563583374,0.0002871,0.00957,0.0031834212131798267,64,-59.22062683105469,3,nan,nan,nan,nan,51.91346649338012
44,92160,2.2282698154449463,0.0002868,0.009559999999999999,0.004840240584716441,62,-112.4329833984375,2,nan,nan,nan,nan,51.91346649338012
45,94208,2.425570487976074,0.00028649999999999997,0.00955,0.001818615408410551,64,-20.663436889648438,4,nan,nan,nan,nan,51.91346649338012
46,96256,2.472806692123413,0.00028619999999999996,0.00954,0.0037953862229187507,64,-2.5233254432678223,2,nan,nan,nan,nan,51.91346649338012
47,98304,2.0836284160614014,0.00028589999999999996,0.00953,0.003396485754124382,34,-40.51442337036133,2,nan,nan,nan,nan,51.91346649338012
48,100352,2.4129154682159424,0.00028559999999999995,0.009519999999999999,0.006505943758384092,64,-1.4201682806015015,1,nan,nan,nan,nan,51.91346649338012
49,102400,2.3237743377685547,0.00028529999999999994,0.00951,0.002551332912844373,64,-69.03466796875,4,nan,nan,nan,nan,51.91346649338012
50,104448,2.292600154876709,0.000285,0.0095,0.0017392199697496835,64,-1.2956463098526,2,-4.8824009070456516,127.31719644807418,59.75992876268161,86.83122919229683,51.91346649338012
51,106496,2.581920862197876,0.0002847,0.00949,0.004885177132582255,51,42.04265213012695,2,nan,nan,nan,nan,51.91346649338012
52,108544,2.569845676422119,0.0002844,0.00948,0.004891811058769235,64,-4.177279472351074,2,nan,nan,nan,nan,51.91346649338012
53,110592,2.74725079536438,0.00028409999999999997,0.00947,0.002708063108002534,64,-4.77639627456665,3,nan,nan,nan,nan,51.91346649338012
54,112640,2.562314510345459,0.00028379999999999996,0.00946,0.00477632335605449,64,-6.874495506286621,1,nan,nan,nan,nan,51.91346649338012
55,114688,2.333207845687866,0.00028349999999999995,0.00945,0.003328144972329028,64,-2.8165082931518555,2,nan,nan,nan,nan,51.91346649338012
56,116736,1.957568883895874,0.00028319999999999994,0.00944,0.0018661118956515566,64,0.8554990887641907,3,nan,nan,nan,nan,51.91346649338012
57,118784,2.3798611164093018,0.00028289999999999994,0.00943,0.004261226527887629,64,-41.542301177978516,3,nan,nan,nan,nan,51.91346649338012
58,120832,2.3861308097839355,0.0002826,0.00942,0.0013391530847002286,64,-59.705318450927734,2,nan,nan,nan,nan,51.91346649338012
59,122880,2.583103656768799,0.0002823,0.00941,0.004074383854458574,64,-2.2023305892944336,1,nan,nan,nan,nan,51.91346649338012
60,124928,2.3759453296661377,0.00028199999999999997,0.0094,0.0047420931987289805,64,0.5472870469093323,3,-45.460072940780925,95.7469501127373,14.114986604540741,66.95417845692693,51.91346649338012
61,126976,2.344554901123047,0.0002817,0.00939,0.004044009536301019,64,-1.9650483131408691,2,nan,nan,nan,nan,51.91346649338012
62,129024,2.326949119567871,0.00028139999999999996,0.00938,0.002826665928296279,64,-40.90855026245117,3,nan,nan,nan,nan,51.91346649338012
63,131072,2.300050973892212,0.0002811,0.009370000000000002,0.0011995403401670046,64,13.051445007324219,3,nan,nan,nan,nan,51.91346649338012
64,133120,2.3637003898620605,0.00028079999999999994,0.00936,0.0025157317431876436,64,68.33848571777344,1,nan,nan,nan,nan,51.91346649338012
65,135168,2.331669569015503,0.0002805,0.00935,0.00223917671610252,64,-18.68525505065918,3,nan,nan,nan,nan,51.91346649338012
66,137216,2.729433059692383,0.0002802,0.00934,0.0030968368118919898,64,-1.473203420639038,1,nan,nan,nan,nan,51.91346649338012
67,139264,2.5199153423309326,0.0002799,0.009330000000000001,0.003393484188563889,64,21.03322982788086,4,nan,nan,nan,nan,51.91346649338012
68,141312,2.2426857948303223,0.00027959999999999997,0.00932,0.004558948110099192,54,54.1903076171875,2,nan,nan,nan,nan,51.91346649338012
69,143360,2.378761053085327,0.0002793,0.00931,0.003731814394996036,64,-0.14330075681209564,1,nan,nan,nan,nan,51.91346649338012
70,145408,2.6371912956237793,0.00027899999999999995,0.0093,0.002711132990953047,64,-2.6571083068847656,2,-60.9678570745153,44.651827923967154,52.91648095430154,100.9253424652549,51.91346649338012
71,147456,2.5747296810150146,0.0002787,0.009290000000000001,0.004925905930576846,64,-1.237392783164978,3,nan,nan,nan,nan,51.91346649338012
72,149504,2.577242374420166,0.0002784,0.00928,0.005426064268685877,50,-10.81181526184082,4,nan,nan,nan,nan,51.91346649338012
73,151552,2.8573806285858154,0.0002781,0.00927,0.0033857418020488694,64,-40.39259338378906,3,nan,nan,nan,nan,51.91346649338012
