episode,env_steps,dt_sec,loss_mean,epsilon,buffer_size,ep_return,ep_length,train_updates,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
50,1182,0.03559303283691406,0.4903856001117013,0.9502544225688344,1182,11.0,11,11,9.35,0.6538348415311012,17.4,7.638062581571324,9.35
51,1196,0.025640249252319336,0.45139760204723905,0.9493041681462656,1196,14.0,14,14,nan,nan,nan,nan,9.35
52,1208,0.02675604820251465,0.42272331317265827,0.9483548639781193,1208,12.0,12,12,nan,nan,nan,nan,9.35
53,1224,0.028063297271728516,0.39572631381452084,0.9474065091141411,1224,16.0,16,16,nan,nan,nan,nan,9.35
54,1239,0.0313878059387207,0.3555611312389374,0.946459102605027,1239,15.0,15,15,nan,nan,nan,nan,9.35
55,1313,0.14150452613830566,0.28614056291612416,0.9455126435024219,1313,74.0,74,74,nan,nan,nan,nan,9.35
56,1375,0.12223005294799805,0.1929922252893448,0.9445671308589195,1375,62.0,62,62,nan,nan,nan,nan,9.35
57,1415,0.07686710357666016,0.14370520319789648,0.9436225637280606,1415,40.0,40,40,nan,nan,nan,nan,9.35
58,1433,0.033833980560302734,0.12524776202109125,0.9426789411643326,1433,18.0,18,18,nan,nan,nan,nan,9.35
59,1451,0.031969308853149414,0.11527407707439528,0.9417362622231683,1451,18.0,18,18,nan,nan,nan,nan,9.35
60,1469,0.050428152084350586,0.104946611656083,0.9407945259609451,1469,18.0,18,18,nan,nan,nan,nan,9.35
61,1480,0.032559871673583984,0.09299575063315305,0.9398537314349842,1480,11.0,11,11,nan,nan,nan,nan,9.35
62,1500,0.05432939529418945,0.09036624841392041,0.9389138777035492,1500,20.0,20,20,nan,nan,nan,nan,9.35
63,1513,0.032187700271606445,0.07968773864782773,0.9379749638258457,1513,13.0,13,13,nan,nan,nan,nan,9.35
64,1551,0.0839996337890625,0.07164970187372283,0.9370369888620198,1551,38.0,38,38,nan,nan,nan,nan,9.35
65,1564,0.02774834632873535,0.06232403104121868,0.9360999518731578,1564,13.0,13,13,nan,nan,nan,nan,9.35
66,1585,0.04321742057800293,0.05868517146224067,0.9351638519212846,1585,21.0,21,21,nan,nan,nan,nan,9.35
67,1606,0.041829824447631836,0.05556304735087213,0.9342286880693633,1606,21.0,21,21,nan,nan,nan,nan,9.35
68,1615,0.019007205963134766,0.05117931299739414,0.933294459381294,1615,9.0,9,9,nan,nan,nan,nan,9.35
69,1630,0.0317385196685791,0.04910026863217354,0.9323611649219127,1630,15.0,15,15,nan,nan,nan,nan,9.35
70,1649,0.041626930236816406,0.04802549355908444,0.9314288037569908,1649,19.0,19,19,nan,nan,nan,nan,9.35
71,1709,0.12408709526062012,0.039529134954015416,0.9304973749532338,1709,60.0,60,60,nan,nan,nan,nan,9.35
72,1726,0.03605508804321289,0.032003640032866425,0.9295668775782806,1726,17.0,17,17,nan,nan,nan,nan,9.35
73,1736,0.020518064498901367,0.029892543144524098,0.9286373107007023,1736,10.0,10,10,nan,nan,nan,nan,9.35
74,1776,0.0820474624633789,0.029861151333898307,0.9277086733900016,1776,40.0,40,40,nan,nan,nan,nan,9.35
75,1796,0.12193059921264648,0.030093829333782195,0.9267809647166116,1796,20.0,20,20,nan,nan,nan,nan,9.35
76,1805,0.03868556022644043,0.02552943014436298,0.925854183751895,1805,9.0,9,9,nan,nan,nan,nan,9.35
77,1820,0.04162335395812988,0.02302256313463052,0.9249283295681431,1820,15.0,15,15,nan,nan,nan,nan,9.35
78,1832,0.029821157455444336,0.023117960353071492,0.9240034012385749,1832,12.0,12,12,nan,nan,nan,nan,9.35
79,1843,0.03352999687194824,0.019219935363666577,0.9230793978373364,1843,11.0,11,11,nan,nan,nan,nan,9.35
80,1854,0.02586674690246582,0.023160936141555958,0.9221563184394991,1854,11.0,11,11,nan,nan,nan,nan,9.35
81,1867,0.02862548828125,0.02332747670320364,0.9212341621210596,1867,13.0,13,13,nan,nan,nan,nan,9.35
82,1882,0.031201601028442383,0.02098762895911932,0.9203129279589385,1882,15.0,15,15,nan,nan,nan,nan,9.35
83,1905,0.05354738235473633,0.02129468107191117,0.9193926150309796,1905,23.0,23,23,nan,nan,nan,nan,9.35
84,1917,0.02584362030029297,0.021918569303428132,0.9184732224159486,1917,12.0,12,12,nan,nan,nan,nan,9.35
85,1933,0.033254384994506836,0.020196134108118713,0.9175547491935327,1933,16.0,16,16,nan,nan,nan,nan,9.35
86,1960,0.06369566917419434,0.015926076547691115,0.9166371944443392,1960,27.0,27,27,nan,nan,nan,nan,9.35
87,1975,0.036489248275756836,0.013656098768115044,0.9157205572498949,1975,15.0,15,15,nan,nan,nan,nan,9.35
88,1991,0.03130817413330078,0.014507141022477299,0.914804836692645,1991,16.0,16,16,nan,nan,nan,nan,9.35
89,2013,0.04773402214050293,0.5892053334973752,0.9138900318559524,2013,22.0,22,22,nan,nan,nan,nan,9.35
90,2035,0.04212784767150879,0.8209268125620756,0.9129761418240965,2035,22.0,22,22,nan,nan,nan,nan,9.35
91,2052,0.03898334503173828,0.6357740233926212,0.9120631656822724,2052,17.0,17,17,nan,nan,nan,nan,9.35
92,2064,0.027143001556396484,0.5383188625176748,0.9111511025165902,2064,12.0,12,12,nan,nan,nan,nan,9.35
93,2076,0.025270700454711914,0.46251529455184937,0.9102399514140735,2076,12.0,12,12,nan,nan,nan,nan,9.35
94,2111,0.07554888725280762,0.3627040982246399,0.9093297114626595,2111,35.0,35,35,nan,nan,nan,nan,9.35
95,2126,0.029941320419311523,0.2887890209754308,0.9084203817511969,2126,15.0,15,15,nan,nan,nan,nan,9.35
96,2138,0.026301860809326172,0.2507830436031024,0.9075119613694457,2138,12.0,12,12,nan,nan,nan,nan,9.35
97,2168,0.06433320045471191,0.20662368834018707,0.9066044494080763,2168,30.0,30,30,nan,nan,nan,nan,9.35
98,2195,0.05911445617675781,0.1714888353038717,0.9056978449586682,2195,27.0,27,27,nan,nan,nan,nan,9.35
99,2239,0.09260749816894531,0.17220913957465778,0.9047921471137096,2239,44.0,44,44,nan,nan,nan,nan,9.35
100,2256,0.03432321548461914,0.14515774346449795,0.9038873549665959,2256,17.0,17,17,9.35,0.6538348415311012,20.45,8.789055694441808,9.35
101,2291,0.0754401683807373,0.12847023563725607,0.9029834676116293,2291,35.0,35,35,nan,nan,nan,nan,9.35
102,2307,0.03608107566833496,0.10027249832637608,0.9020804841440176,2307,16.0,16,16,nan,nan,nan,nan,9.35
103,2324,0.038863420486450195,0.13968720637700138,0.9011784036598737,2324,17.0,17,17,nan,nan,nan,nan,9.35
104,2340,0.033176422119140625,0.09351214882917702,0.9002772252562138,2340,16.0,16,16,nan,nan,nan,nan,9.35
105,2351,0.023308277130126953,0.11478920941325751,0.8993769480309576,2351,11.0,11,11,nan,nan,nan,nan,9.35
106,2366,0.0400538444519043,0.11372745546201865,0.8984775710829266,2366,15.0,15,15,nan,nan,nan,nan,9.35
107,2386,0.03791165351867676,0.10184258380904794,0.8975790935118436,2386,20.0,20,20,nan,nan,nan,nan,9.35
108,2396,0.0179440975189209,0.09916848838329315,0.8966815144183318,2396,10.0,10,10,nan,nan,nan,nan,9.35
109,2407,0.022150516510009766,0.08921126242388379,0.8957848329039134,2407,11.0,11,11,nan,nan,nan,nan,9.35
110,2446,0.09074807167053223,0.10665131264772171,0.8948890480710096,2446,39.0,39,39,nan,nan,nan,nan,9.35
111,2472,0.05682659149169922,0.09422632686507243,0.8939941590229386,2472,26.0,26,26,nan,nan,nan,nan,9.35
112,2490,0.036199331283569336,0.092513180958728,0.8931001648639156,2490,18.0,18,18,nan,nan,nan,nan,9.35
113,2509,0.050885677337646484,0.10309853738075808,0.8922070646990518,2509,19.0,19,19,nan,nan,nan,nan,9.35
114,2520,0.025524139404296875,0.11166505854238164,0.8913148576343527,2520,11.0,11,11,nan,nan,nan,nan,9.35
115,2538,0.03744816780090332,0.09102154771486919,0.8904235427767183,2538,18.0,18,18,nan,nan,nan,nan,9.35
116,2550,0.03746438026428223,0.08895693471034367,0.8895331192339416,2550,12.0,12,12,nan,nan,nan,nan,9.35
117,2561,0.029521703720092773,0.10678348622538826,0.8886435861147077,2561,11.0,11,11,nan,nan,nan,nan,9.35
118,2587,0.05974173545837402,0.08386557488344036,0.887754942528593,2587,26.0,26,26,nan,nan,nan,nan,9.35
119,2600,0.03602266311645508,0.06403203050677593,0.8868671875860644,2600,13.0,13,13,nan,nan,nan,nan,9.35
120,2616,0.03497648239135742,0.09266234521055594,0.8859803203984784,2616,16.0,16,16,nan,nan,nan,nan,9.35
121,2632,0.039263010025024414,0.08858839946333319,0.88509434007808,2632,16.0,16,16,nan,nan,nan,nan,9.35
122,2647,0.033919334411621094,0.09787067491561174,0.8842092457380019,2647,15.0,15,15,nan,nan,nan,nan,9.35
123,2665,0.03523087501525879,0.06896606749958462,0.8833250364922639,2665,18.0,18,18,nan,nan,nan,nan,9.35
124,2691,0.05991387367248535,0.07272568506260331,0.8824417114557717,2691,26.0,26,26,nan,nan,nan,nan,9.35
125,2700,0.018706560134887695,0.11885158427887493,0.8815592697443159,2700,9.0,9,9,nan,nan,nan,nan,9.35
126,2717,0.03340482711791992,0.0526469424366951,0.8806777104745716,2717,17.0,17,17,nan,nan,nan,nan,9.35
127,2730,0.03082585334777832,0.059251111144056685,0.8797970327640969,2730,13.0,13,13,nan,nan,nan,nan,9.35
128,2740,0.01955723762512207,0.07780961957760155,0.8789172357313328,2740,10.0,10,10,nan,nan,nan,nan,9.35
129,2763,0.04933953285217285,0.07857145322486758,0.8780383184956015,2763,23.0,23,23,nan,nan,nan,nan,9.35
130,2800,0.08601069450378418,0.07102101457280081,0.8771602801771059,2800,37.0,37,37,nan,nan,nan,nan,9.35
131,2812,0.024479150772094727,0.056683321095382176,0.8762831198969288,2812,12.0,12,12,nan,nan,nan,nan,9.35
132,2833,0.03987264633178711,0.07683301903307438,0.8754068367770318,2833,21.0,21,21,nan,nan,nan,nan,9.35
133,2844,0.02128911018371582,0.07156650493429466,0.8745314299402548,2844,11.0,11,11,nan,nan,nan,nan,9.35
134,2872,0.05993199348449707,0.06538974879575628,0.8736568985103146,2872,28.0,28,28,nan,nan,nan,nan,9.35
135,2908,0.07537651062011719,0.05905228961880008,0.8727832416118043,2908,36.0,36,36,nan,nan,nan,nan,9.35
136,2922,0.02535247802734375,0.07533221252794776,0.8719104583701925,2922,14.0,14,14,nan,nan,nan,nan,9.35
137,2935,0.02499842643737793,0.060988434590399265,0.8710385479118223,2935,13.0,13,13,nan,nan,nan,nan,9.35
138,2945,0.030902385711669922,0.08535664714872837,0.8701675093639105,2945,10.0,10,10,nan,nan,nan,nan,9.35
139,2986,0.12340784072875977,0.07660984530726947,0.8692973418545467,2986,41.0,41,41,nan,nan,nan,nan,9.35
140,2997,0.02767658233642578,0.06439349089156497,0.8684280445126921,2997,11.0,11,11,nan,nan,nan,nan,9.35
141,3013,0.04387211799621582,0.8804730816045776,0.8675596164681794,3013,16.0,16,16,nan,nan,nan,nan,9.35
142,3024,0.022995710372924805,0.8870430751280352,0.8666920568517111,3024,11.0,11,11,nan,nan,nan,nan,9.35
143,3060,0.07019424438476562,0.6062426293889681,0.8658253647948594,3060,36.0,36,36,nan,nan,nan,nan,9.35
144,3082,0.040772199630737305,0.4178339270028201,0.8649595394300645,3082,22.0,22,22,nan,nan,nan,nan,9.35
145,3097,0.029723167419433594,0.3474577784538269,0.8640945798906344,3097,15.0,15,15,nan,nan,nan,nan,9.35
146,3112,0.030392885208129883,0.3013179083665212,0.8632304853107438,3112,15.0,15,15,nan,nan,nan,nan,9.35
147,3124,0.024562358856201172,0.2634816337376833,0.862367254825433,3124,12.0,12,12,nan,nan,nan,nan,9.35
