episode,env_steps,dt_sec,loss_mean,epsilon,buffer_size,ep_return,ep_length,train_updates,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
0,21,0.001079559326171875,nan,0.999,21,21.0,21,0,9.3,0.7810249675906654,19.6,6.681317235396026,9.3
1,45,0.0011057853698730469,nan,0.998001,45,24.0,24,0,nan,nan,nan,nan,9.3
2,56,0.0004773139953613281,nan,0.997002999,56,11.0,11,0,nan,nan,nan,nan,9.3
3,95,0.0014193058013916016,nan,0.996005996001,95,39.0,39,0,nan,nan,nan,nan,9.3
4,109,0.0006279945373535156,nan,0.995009990004999,109,14.0,14,0,nan,nan,nan,nan,9.3
5,145,0.001722574234008789,nan,0.994014980014994,145,36.0,36,0,nan,nan,nan,nan,9.3
6,157,0.0005002021789550781,nan,0.993020965034979,157,12.0,12,0,nan,nan,nan,nan,9.3
7,186,0.002874612808227539,nan,0.9920279440699441,186,29.0,29,0,nan,nan,nan,nan,9.3
8,201,0.0005781650543212891,nan,0.9910359161258742,201,15.0,15,0,nan,nan,nan,nan,9.3
9,239,0.0021483898162841797,nan,0.9900448802097482,239,38.0,38,0,nan,nan,nan,nan,9.3
10,261,0.0014078617095947266,nan,0.9890548353295385,261,22.0,22,0,nan,nan,nan,nan,9.3
11,276,0.0008118152618408203,nan,0.988065780494209,276,15.0,15,0,nan,nan,nan,nan,9.3
12,327,0.002085447311401367,nan,0.9870777147137147,327,51.0,51,0,nan,nan,nan,nan,9.3
13,359,0.001071929931640625,nan,0.986090636999001,359,32.0,32,0,nan,nan,nan,nan,9.3
14,381,0.0006921291351318359,nan,0.9851045463620021,381,22.0,22,0,nan,nan,nan,nan,9.3
15,391,0.0003790855407714844,nan,0.98411944181564,391,10.0,10,0,nan,nan,nan,nan,9.3
16,466,0.0039517879486083984,nan,0.9831353223738244,466,75.0,75,0,nan,nan,nan,nan,9.3
17,481,0.0009622573852539062,nan,0.9821521870514506,481,15.0,15,0,nan,nan,nan,nan,9.3
18,498,0.0008285045623779297,nan,0.9811700348643991,498,17.0,17,0,nan,nan,nan,nan,9.3
19,526,0.0022385120391845703,nan,0.9801888648295347,526,28.0,28,0,nan,nan,nan,nan,9.3
20,541,0.0005340576171875,nan,0.9792086759647052,541,15.0,15,0,nan,nan,nan,nan,9.3
21,553,0.0004317760467529297,nan,0.9782294672887405,553,12.0,12,0,nan,nan,nan,nan,9.3
22,570,0.0008003711700439453,nan,0.9772512378214517,570,17.0,17,0,nan,nan,nan,nan,9.3
23,600,0.002291440963745117,nan,0.9762739865836303,600,30.0,30,0,nan,nan,nan,nan,9.3
24,612,0.0009648799896240234,nan,0.9752977125970467,612,12.0,12,0,nan,nan,nan,nan,9.3
25,622,0.0007054805755615234,nan,0.9743224148844496,622,10.0,10,0,nan,nan,nan,nan,9.3
26,644,0.0008444786071777344,nan,0.9733480924695651,644,22.0,22,0,nan,nan,nan,nan,9.3
27,658,0.0004622936248779297,nan,0.9723747443770956,658,14.0,14,0,nan,nan,nan,nan,9.3
28,722,0.001834869384765625,nan,0.9714023696327185,722,64.0,64,0,nan,nan,nan,nan,9.3
29,739,0.0005621910095214844,nan,0.9704309672630859,739,17.0,17,0,nan,nan,nan,nan,9.3
30,754,0.00047516822814941406,nan,0.9694605362958227,754,15.0,15,0,nan,nan,nan,nan,9.3
31,776,0.001005411148071289,nan,0.9684910757595269,776,22.0,22,0,nan,nan,nan,nan,9.3
32,788,0.00036787986755371094,nan,0.9675225846837673,788,12.0,12,0,nan,nan,nan,nan,9.3
33,807,0.0008454322814941406,nan,0.9665550620990835,807,19.0,19,0,nan,nan,nan,nan,9.3
34,821,0.0006632804870605469,nan,0.9655885070369844,821,14.0,14,0,nan,nan,nan,nan,9.3
35,863,0.003010988235473633,nan,0.9646229185299474,863,42.0,42,0,nan,nan,nan,nan,9.3
36,896,0.0013794898986816406,nan,0.9636582956114175,896,33.0,33,0,nan,nan,nan,nan,9.3
37,914,0.0007784366607666016,nan,0.9626946373158061,914,18.0,18,0,nan,nan,nan,nan,9.3
38,947,0.0011909008026123047,nan,0.9617319426784903,947,33.0,33,0,nan,nan,nan,nan,9.3
39,964,0.0006239414215087891,nan,0.9607702107358118,964,17.0,17,0,nan,nan,nan,nan,9.3
40,986,0.0006647109985351562,nan,0.959809440525076,986,22.0,22,0,nan,nan,nan,nan,9.3
41,1003,0.047860145568847656,1.1323166191577911,0.9588496310845509,1003,17.0,17,4,nan,nan,nan,nan,9.3
42,1019,0.04456377029418945,1.0651244223117828,0.9578907814534664,1019,16.0,16,16,nan,nan,nan,nan,9.3
43,1044,0.0646672248840332,0.9653435134887696,0.9569328906720129,1044,25.0,25,25,nan,nan,nan,nan,9.3
44,1057,0.03575634956359863,0.8750619429808396,0.9559759577813409,1057,13.0,13,13,nan,nan,nan,nan,9.3
45,1072,0.03458356857299805,0.8165620962778727,0.9550199818235596,1072,15.0,15,15,nan,nan,nan,nan,9.3
46,1084,0.038170576095581055,0.7556933164596558,0.9540649618417361,1084,12.0,12,12,nan,nan,nan,nan,9.3
47,1097,0.03825116157531738,0.7037408902094915,0.9531108968798944,1097,13.0,13,13,nan,nan,nan,nan,9.3
48,1137,0.09710407257080078,0.6174292042851448,0.9521577859830145,1137,40.0,40,40,nan,nan,nan,nan,9.3
49,1151,0.028568029403686523,0.5314785199505943,0.9512056281970315,1151,14.0,14,14,nan,nan,nan,nan,9.3
50,1165,0.027711153030395508,0.49239577778748106,0.9502544225688344,1165,14.0,14,14,9.3,0.7810249675906654,21.85,10.687726605784787,9.3
51,1182,0.03373599052429199,0.45178939139141755,0.9493041681462656,1182,17.0,17,17,nan,nan,nan,nan,9.3
52,1204,0.052016496658325195,0.3960118591785431,0.9483548639781193,1204,22.0,22,22,nan,nan,nan,nan,9.3
53,1222,0.036072492599487305,0.35516566865974003,0.9474065091141411,1222,18.0,18,18,nan,nan,nan,nan,9.3
54,1244,0.04584455490112305,0.32096252929080615,0.946459102605027,1244,22.0,22,22,nan,nan,nan,nan,9.3
55,1262,0.03769230842590332,0.2792716804477904,0.9455126435024219,1262,18.0,18,18,nan,nan,nan,nan,9.3
56,1283,0.0423426628112793,0.2503753893432163,0.9445671308589195,1283,21.0,21,21,nan,nan,nan,nan,9.3
57,1303,0.04440808296203613,0.22180514112114907,0.9436225637280606,1303,20.0,20,20,nan,nan,nan,nan,9.3
58,1354,0.11504817008972168,0.17873973355573766,0.9426789411643326,1354,51.0,51,51,nan,nan,nan,nan,9.3
59,1418,0.14716148376464844,0.1273752918932587,0.9417362622231683,1418,64.0,64,64,nan,nan,nan,nan,9.3
60,1432,0.029094457626342773,0.09986303799918719,0.9407945259609451,1432,14.0,14,14,nan,nan,nan,nan,9.3
61,1460,0.05757951736450195,0.09105875396302768,0.9398537314349842,1460,28.0,28,28,nan,nan,nan,nan,9.3
62,1481,0.045758724212646484,0.08101928269579298,0.9389138777035492,1481,21.0,21,21,nan,nan,nan,nan,9.3
63,1495,0.03192949295043945,0.07284687778779439,0.9379749638258457,1495,14.0,14,14,nan,nan,nan,nan,9.3
64,1516,0.04341244697570801,0.06801855617335864,0.9370369888620198,1516,21.0,21,21,nan,nan,nan,nan,9.3
65,1621,0.23388266563415527,0.053140895139603385,0.9360999518731578,1621,105.0,105,105,nan,nan,nan,nan,9.3
66,1630,0.026265621185302734,0.04505958946214782,0.9351638519212846,1630,9.0,9,9,nan,nan,nan,nan,9.3
67,1644,0.043959856033325195,0.039491966499813964,0.9342286880693633,1644,14.0,14,14,nan,nan,nan,nan,9.3
68,1658,0.05534982681274414,0.03888593108526298,0.933294459381294,1658,14.0,14,14,nan,nan,nan,nan,9.3
69,1675,0.05623149871826172,0.037108822670929575,0.9323611649219127,1675,17.0,17,17,nan,nan,nan,nan,9.3
70,1696,0.06509542465209961,0.03353261796846276,0.9314288037569908,1696,21.0,21,21,nan,nan,nan,nan,9.3
71,1706,0.024745941162109375,0.038514288142323494,0.9304973749532338,1706,10.0,10,10,nan,nan,nan,nan,9.3
72,1722,0.03515267372131348,0.0341619614046067,0.9295668775782806,1722,16.0,16,16,nan,nan,nan,nan,9.3
73,1736,0.028339147567749023,0.0317618761743818,0.9286373107007023,1736,14.0,14,14,nan,nan,nan,nan,9.3
74,1753,0.04036259651184082,0.030365636572241783,0.9277086733900016,1753,17.0,17,17,nan,nan,nan,nan,9.3
75,1767,0.02792644500732422,0.028383086834635054,0.9267809647166116,1767,14.0,14,14,nan,nan,nan,nan,9.3
76,1786,0.03718137741088867,0.02998429497605876,0.925854183751895,1786,19.0,19,19,nan,nan,nan,nan,9.3
