episode,env_steps,dt_sec,loss_mean,epsilon,buffer_size,ep_return,ep_length,train_updates,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
0,40,0.0014462471008300781,nan,0.999,40,40.0,40,0,57.45,20.92241620845929,20.7,6.8927498141162795,57.45
1,52,0.0006420612335205078,nan,0.998001,52,12.0,12,0,nan,nan,nan,nan,57.45
2,87,0.0011706352233886719,nan,0.997002999,87,35.0,35,0,nan,nan,nan,nan,57.45
3,101,0.0005853176116943359,nan,0.996005996001,101,14.0,14,0,nan,nan,nan,nan,57.45
4,116,0.0005095005035400391,nan,0.995009990004999,116,15.0,15,0,nan,nan,nan,nan,57.45
5,138,0.0010828971862792969,nan,0.994014980014994,138,22.0,22,0,nan,nan,nan,nan,57.45
6,158,0.0008327960968017578,nan,0.993020965034979,158,20.0,20,0,nan,nan,nan,nan,57.45
7,187,0.0016684532165527344,nan,0.9920279440699441,187,29.0,29,0,nan,nan,nan,nan,57.45
8,231,0.0018527507781982422,nan,0.9910359161258742,231,44.0,44,0,nan,nan,nan,nan,57.45
9,241,0.0003578662872314453,nan,0.9900448802097482,241,10.0,10,0,nan,nan,nan,nan,57.45
10,270,0.0009772777557373047,nan,0.9890548353295385,270,29.0,29,0,nan,nan,nan,nan,57.45
11,282,0.0003819465637207031,nan,0.988065780494209,282,12.0,12,0,nan,nan,nan,nan,57.45
12,330,0.0014960765838623047,nan,0.9870777147137147,330,48.0,48,0,nan,nan,nan,nan,57.45
13,364,0.001013040542602539,nan,0.986090636999001,364,34.0,34,0,nan,nan,nan,nan,57.45
14,380,0.0005052089691162109,nan,0.9851045463620021,380,16.0,16,0,nan,nan,nan,nan,57.45
15,405,0.00148773193359375,nan,0.98411944181564,405,25.0,25,0,nan,nan,nan,nan,57.45
16,418,0.00045680999755859375,nan,0.9831353223738244,418,13.0,13,0,nan,nan,nan,nan,57.45
17,434,0.0005066394805908203,nan,0.9821521870514506,434,16.0,16,0,nan,nan,nan,nan,57.45
18,488,0.0016291141510009766,nan,0.9811700348643991,488,54.0,54,0,nan,nan,nan,nan,57.45
19,512,0.0007305145263671875,nan,0.9801888648295347,512,24.0,24,0,nan,nan,nan,nan,57.45
20,521,0.0006804466247558594,nan,0.9792086759647052,521,9.0,9,0,nan,nan,nan,nan,57.45
21,539,0.00074005126953125,nan,0.9782294672887405,539,18.0,18,0,nan,nan,nan,nan,57.45
22,562,0.0007226467132568359,nan,0.9772512378214517,562,23.0,23,0,nan,nan,nan,nan,57.45
23,577,0.0004627704620361328,nan,0.9762739865836303,577,15.0,15,0,nan,nan,nan,nan,57.45
24,599,0.0007224082946777344,nan,0.9752977125970467,599,22.0,22,0,nan,nan,nan,nan,57.45
25,621,0.001065969467163086,nan,0.9743224148844496,621,22.0,22,0,nan,nan,nan,nan,57.45
26,639,0.0006759166717529297,nan,0.9733480924695651,639,18.0,18,0,nan,nan,nan,nan,57.45
27,653,0.00047278404235839844,nan,0.9723747443770956,653,14.0,14,0,nan,nan,nan,nan,57.45
